case,category,detail
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2028-29.json,extended-season-match-count,"Elliot Vance: {""season"":""2028/29"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":165,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":100,""matches"":5,""wins"":1,""losses"":5,""prizeMoney"":0,""rankingPoints"":14,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Junior Amateur Circuit""}"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2029-30.json,extended-career-match-count,"Elliot Vance: 24 matches, 5 wins, 24 losses"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2030-31.json,extended-career-match-count,"Elliot Vance: 31 matches, 5 wins, 31 losses"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2031-32.json,extended-career-match-count,"Elliot Vance: 38 matches, 6 wins, 38 losses"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2031-32.json,extended-season-match-count,"Elliot Vance: {""season"":""2031/32"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":237,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":103,""matches"":7,""wins"":1,""losses"":7,""prizeMoney"":0,""rankingPoints"":8,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Junior Amateur Circuit""}"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2032-33.json,extended-career-match-count,"Elliot Vance: 45 matches, 15 wins, 45 losses"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2032-33.json,extended-season-match-count,"Elliot Vance: {""season"":""2032/33"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":230,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":34,""matches"":7,""wins"":9,""losses"":7,""prizeMoney"":0,""rankingPoints"":25,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Amateur Circuit""}"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2033-34.json,extended-career-match-count,"Elliot Vance: 52 matches, 17 wins, 52 losses"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2033-34.json,extended-season-match-count,"Elliot Vance: {""season"":""2033/34"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":202,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":108,""matches"":7,""wins"":2,""losses"":7,""prizeMoney"":0,""rankingPoints"":9,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Amateur Circuit""}"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2034-35.json,extended-career-match-count,"Elliot Vance: 59 matches, 20 wins, 59 losses"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2034-35.json,extended-season-match-count,"Elliot Vance: {""season"":""2034/35"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":191,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":103,""matches"":7,""wins"":3,""losses"":7,""prizeMoney"":0,""rankingPoints"":9,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Amateur Circuit""}"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2035-36.json,extended-career-match-count,"Elliot Vance: 69 matches, 25 wins, 69 losses"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2035-36.json,extended-season-match-count,"Elliot Vance: {""season"":""2035/36"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":222,""qTourRank"":149,""qSchoolRank"":98,""seniorRank"":null,""youthRank"":null,""matches"":10,""wins"":5,""losses"":10,""prizeMoney"":0,""rankingPoints"":2492,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Q School Campaigner""}"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2036-37.json,extended-career-match-count,"Elliot Vance: 79 matches, 39 wins, 80 losses"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2036-37.json,extended-season-match-count,"Elliot Vance: {""season"":""2036/37"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":122,""qTourRank"":85,""qSchoolRank"":85,""seniorRank"":null,""youthRank"":null,""matches"":10,""wins"":14,""losses"":11,""prizeMoney"":0,""rankingPoints"":5253,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Q School Campaigner""}"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2037-38.json,extended-career-match-count,"Elliot Vance: 89 matches, 56 wins, 90 losses"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2037-38.json,extended-season-match-count,"Elliot Vance: {""season"":""2037/38"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":17,""qTourRank"":55,""qSchoolRank"":189,""seniorRank"":null,""youthRank"":null,""matches"":10,""wins"":17,""losses"":10,""prizeMoney"":0,""rankingPoints"":6180,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Q School Campaigner""}"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2038-39.json,extended-career-match-count,"Elliot Vance: 99 matches, 78 wins, 100 losses"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2038-39.json,extended-season-match-count,"Elliot Vance: {""season"":""2038/39"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":90,""qTourRank"":11,""qSchoolRank"":148,""seniorRank"":null,""youthRank"":null,""matches"":10,""wins"":22,""losses"":10,""prizeMoney"":0,""rankingPoints"":16826,""titles"":1,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Q School Campaigner""}"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2039-40.json,extended-career-match-count,"Elliot Vance: 108 matches, 95 wins, 109 losses"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2039-40.json,extended-season-match-count,"Elliot Vance: {""season"":""2039/40"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":79,""qTourRank"":76,""qSchoolRank"":63,""seniorRank"":null,""youthRank"":null,""matches"":9,""wins"":17,""losses"":9,""prizeMoney"":0,""rankingPoints"":5327,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Q School Campaigner""}"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2040-41.json,extended-career-match-count,"Elliot Vance: 118 matches, 127 wins, 119 losses"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2040-41.json,extended-season-match-count,"Elliot Vance: {""season"":""2040/41"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":64,""qTourRank"":18,""qSchoolRank"":25,""seniorRank"":null,""youthRank"":null,""matches"":10,""wins"":32,""losses"":10,""prizeMoney"":0,""rankingPoints"":13712,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Q School Campaigner""}"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2041-42.json,extended-career-match-count,"Elliot Vance: 128 matches, 163 wins, 130 losses"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2041-42.json,extended-season-match-count,"Elliot Vance: {""season"":""2041/42"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":37,""qTourRank"":7,""qSchoolRank"":21,""seniorRank"":null,""youthRank"":null,""matches"":10,""wins"":36,""losses"":11,""prizeMoney"":0,""rankingPoints"":19170,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Q School Campaigner""}"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2042-43.json,extended-career-match-count,"Elliot Vance: 137 matches, 184 wins, 139 losses"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2042-43.json,extended-season-match-count,"Elliot Vance: {""season"":""2042/43"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":102,""qTourRank"":59,""qSchoolRank"":1,""seniorRank"":null,""youthRank"":null,""matches"":9,""wins"":21,""losses"":9,""prizeMoney"":0,""rankingPoints"":6094,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Q School Campaigner""}"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2043-44.json,extended-career-match-count,"Elliot Vance: 148 matches, 201 wins, 148 losses"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2043-44.json,extended-season-match-count,"Elliot Vance: {""season"":""2043/44"",""worldRank"":84,""oneYearRank"":45,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":17,""losses"":9,""prizeMoney"":71250,""rankingPoints"":71000,""titles"":0,""proWins"":17,""proLosses"":9,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":2,""retainedViaRanking"":false,""cardSource"":""Q School"",""tourSurvivalStatus"":""Amateur"",""status"":""Rookie Professional — Two-Year Tour Card""}"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2044-45.json,extended-career-match-count,"Elliot Vance: 160 matches, 212 wins, 158 losses"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2044-45.json,extended-season-match-count,"Elliot Vance: {""season"":""2044/45"",""worldRank"":53,""oneYearRank"":55,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":12,""wins"":11,""losses"":10,""prizeMoney"":64100,""rankingPoints"":57600,""titles"":0,""proWins"":11,""proLosses"":10,""mainTourEvents"":12,""hasTourCard"":true,""yearsRemaining"":1,""retainedViaRanking"":false,""cardSource"":""Q School"",""tourSurvivalStatus"":""Bubble"",""status"":""Tour Survivor / Top 64""}"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2045-46.json,extended-career-match-count,"Elliot Vance: 171 matches, 219 wins, 168 losses"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2045-46.json,extended-season-match-count,"Elliot Vance: {""season"":""2045/46"",""worldRank"":77,""oneYearRank"":112,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":7,""losses"":10,""prizeMoney"":27000,""rankingPoints"":17000,""titles"":0,""proWins"":7,""proLosses"":10,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":0,""retainedViaRanking"":true,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Safe"",""status"":""Rookie Professional — Two-Year Tour Card""}"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2046-47.json,extended-career-match-count,"Elliot Vance: 176 matches, 230 wins, 174 losses"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2046-47.json,extended-season-match-count,"Elliot Vance: {""season"":""2046/47"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":106,""qTourRank"":86,""qSchoolRank"":59,""seniorRank"":null,""youthRank"":null,""matches"":5,""wins"":11,""losses"":6,""prizeMoney"":0,""rankingPoints"":4958,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Lost Card"",""status"":""Q School Campaigner""}"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2047-48.json,extended-career-match-count,"Elliot Vance: 181 matches, 249 wins, 179 losses"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2047-48.json,extended-season-match-count,"Elliot Vance: {""season"":""2047/48"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":30,""qTourRank"":122,""qSchoolRank"":53,""seniorRank"":null,""youthRank"":null,""matches"":5,""wins"":19,""losses"":5,""prizeMoney"":0,""rankingPoints"":3513,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Ranking Retained"",""tourSurvivalStatus"":""Amateur"",""status"":""Q School Campaigner""}"
artifacts\simulations\53-season-start-age-12-start-club-junior-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2048-49.json,extended-career-match-count,"Elliot Vance: 186 matches, 256 wins, 185 losses"
